PAZANGUS STUDENTAI
Vardas              Pavarde             Galutinis-vidurkis  
vardas35044         pavarde35044        5.20                
vardas35043         pavarde35043        5.20                
vardas35042         pavarde35042        5.20                
vardas5491          pavarde5491         5.20                
vardas5499          pavarde5499         5.20                
vardas5498          pavarde5498         5.20                
vardas5497          pavarde5497         5.20                
vardas5496          pavarde5496         5.20                
vardas5495          pavarde5495         5.20                
vardas5494          pavarde5494         5.20                
vardas5493          pavarde5493         5.20                
vardas5492          pavarde5492         5.20                
vardas5500          pavarde5500         5.20                
vardas5490          pavarde5490         5.20                
vardas34990         pavarde34990        5.20                
vardas34989         pavarde34989        5.20                
vardas34988         pavarde34988        5.20                
vardas54938         pavarde54938        5.20                
vardas34987         pavarde34987        5.20                
vardas34986         pavarde34986        5.20                
vardas34985         pavarde34985        5.20                
vardas5509          pavarde5509         5.20                
vardas5517          pavarde5517         5.20                
vardas5516          pavarde5516         5.20                
vardas5515          pavarde5515         5.20                
vardas5514          pavarde5514         5.20                
vardas5513          pavarde5513         5.20                
vardas5512          pavarde5512         5.20                
vardas5511          pavarde5511         5.20                
vardas5510          pavarde5510         5.20                
vardas20543         pavarde20543        5.20                
vardas5508          pavarde5508         5.20                
vardas5507          pavarde5507         5.20                
vardas5506          pavarde5506         5.20                
vardas5505          pavarde5505         5.20                
vardas5504          pavarde5504         5.20                
vardas5503          pavarde5503         5.20                
vardas5502          pavarde5502         5.20                
vardas5501          pavarde5501         5.20                
vardas79239         pavarde79239        5.20                
vardas5339          pavarde5339         5.20                
vardas5338          pavarde5338         5.20                
vardas5337          pavarde5337         5.20                
vardas20757         pavarde20757        5.20                
vardas20780         pavarde20780        5.20                
vardas20781         pavarde20781        5.20                
vardas79236         pavarde79236        5.20                
vardas79237         pavarde79237        5.20                
vardas79238         pavarde79238        5.20                
vardas5340          pavarde5340         5.20                
vardas79240         pavarde79240        5.20                
vardas79241         pavarde79241        5.20                
vardas79242         pavarde79242        5.20                
vardas79243         pavarde79243        5.20                
vardas79244         pavarde79244        5.20                
vardas79245         pavarde79245        5.20                
vardas5277          pavarde5277         5.20                
vardas5276          pavarde5276         5.20                
vardas5349          pavarde5349         5.20                
vardas5357          pavarde5357         5.20                
vardas5356          pavarde5356         5.20                
vardas5355          pavarde5355         5.20                
vardas5354          pavarde5354         5.20                
vardas5353          pavarde5353         5.20                
vardas5352          pavarde5352         5.20                
vardas5351          pavarde5351         5.20                
vardas5350          pavarde5350         5.20                
vardas5275          pavarde5275         5.20                
vardas5348          pavarde5348         5.20                
vardas5347          pavarde5347         5.20                
vardas5346          pavarde5346         5.20                
vardas5345          pavarde5345         5.20                
vardas5344          pavarde5344         5.20                
vardas5343          pavarde5343         5.20                
vardas5342          pavarde5342         5.20                
vardas5341          pavarde5341         5.20                
vardas67332         pavarde67332        5.20                
vardas67340         pavarde67340        5.20                
vardas67339         pavarde67339        5.20                
vardas67338         pavarde67338        5.20                
vardas67337         pavarde67337        5.20                
vardas67336         pavarde67336        5.20                
vardas67335         pavarde67335        5.20                
vardas67334         pavarde67334        5.20                
vardas67333         pavarde67333        5.20                
vardas67341         pavarde67341        5.20                
vardas67331         pavarde67331        5.20                
vardas55362         pavarde55362        5.20                
vardas55363         pavarde55363        5.20                
vardas55364         pavarde55364        5.20                
vardas55365         pavarde55365        5.20                
vardas55366         pavarde55366        5.20                
vardas55367         pavarde55367        5.20                
vardas55368         pavarde55368        5.20                
vardas5266          pavarde5266         5.20                
vardas5274          pavarde5274         5.20                
vardas5273          pavarde5273         5.20                
vardas5272          pavarde5272         5.20                
vardas5271          pavarde5271         5.20                
vardas5270          pavarde5270         5.20                
vardas5269          pavarde5269         5.20                
vardas5268          pavarde5268         5.20                
vardas5267          pavarde5267         5.20                
vardas5358          pavarde5358         5.20                
vardas5265          pavarde5265         5.20                
vardas5264          pavarde5264         5.20                
vardas5263          pavarde5263         5.20                
vardas5262          pavarde5262         5.20                
vardas5261          pavarde5261         5.20                
vardas5260          pavarde5260         5.20                
vardas5259          pavarde5259         5.20                
vardas5258          pavarde5258         5.20                
vardas67478         pavarde67478        5.20                
vardas20562         pavarde20562        5.20                
vardas55116         pavarde55116        5.20                
vardas55117         pavarde55117        5.20                
vardas55118         pavarde55118        5.20                
vardas55119         pavarde55119        5.20                
vardas55120         pavarde55120        5.20                
vardas55121         pavarde55121        5.20                
vardas55122         pavarde55122        5.20                
vardas67479         pavarde67479        5.20                
vardas20561         pavarde20561        5.20                
vardas67477         pavarde67477        5.20                
vardas67476         pavarde67476        5.20                
vardas67475         pavarde67475        5.20                
vardas67474         pavarde67474        5.20                
vardas67473         pavarde67473        5.20                
vardas67472         pavarde67472        5.20                
vardas67471         pavarde67471        5.20                
vardas67470         pavarde67470        5.20                
vardas20552         pavarde20552        5.20                
vardas20544         pavarde20544        5.20                
vardas20545         pavarde20545        5.20                
vardas20546         pavarde20546        5.20                
vardas20547         pavarde20547        5.20                
vardas20548         pavarde20548        5.20                
vardas20549         pavarde20549        5.20                
vardas20550         pavarde20550        5.20                
vardas20551         pavarde20551        5.20                
vardas67469         pavarde67469        5.20                
vardas20553         pavarde20553        5.20                
vardas20554         pavarde20554        5.20                
vardas20555         pavarde20555        5.20                
vardas20556         pavarde20556        5.20                
vardas20557         pavarde20557        5.20                
vardas20558         pavarde20558        5.20                
vardas20559         pavarde20559        5.20                
vardas20560         pavarde20560        5.20                
vardas55248         pavarde55248        5.20                
vardas55240         pavarde55240        5.20                
vardas55241         pavarde55241        5.20                
vardas55242         pavarde55242        5.20                
vardas55243         pavarde55243        5.20                
vardas55244         pavarde55244        5.20                
vardas55245         pavarde55245        5.20                
vardas55246         pavarde55246        5.20                
vardas55247         pavarde55247        5.20                
vardas55239         pavarde55239        5.20                
vardas55249         pavarde55249        5.20                
vardas55250         pavarde55250        5.20                
vardas5364          pavarde5364         5.20                
vardas5363          pavarde5363         5.20                
vardas5362          pavarde5362         5.20                
vardas5361          pavarde5361         5.20                
vardas5360          pavarde5360         5.20                
vardas5359          pavarde5359         5.20                
vardas55230         pavarde55230        5.20                
vardas67468         pavarde67468        5.20                
vardas67467         pavarde67467        5.20                
vardas67466         pavarde67466        5.20                
vardas67465         pavarde67465        5.20                
vardas67464         pavarde67464        5.20                
vardas5366          pavarde5366         5.20                
vardas5365          pavarde5365         5.20                
vardas55229         pavarde55229        5.20                
vardas5619          pavarde5619         5.20                
vardas55231         pavarde55231        5.20                
vardas55232         pavarde55232        5.20                
vardas55233         pavarde55233        5.20                
vardas55234         pavarde55234        5.20                
vardas55235         pavarde55235        5.20                
vardas55236         pavarde55236        5.20                
vardas55237         pavarde55237        5.20                
vardas55238         pavarde55238        5.20                
vardas35321         pavarde35321        5.20                
vardas35327         pavarde35327        5.20                
vardas35326         pavarde35326        5.20                
vardas35325         pavarde35325        5.20                
vardas5797          pavarde5797         5.20                
vardas5796          pavarde5796         5.20                
vardas5795          pavarde5795         5.20                
vardas35324         pavarde35324        5.20                
vardas35323         pavarde35323        5.20                
vardas35322         pavarde35322        5.20                
vardas35328         pavarde35328        5.20                
vardas35304         pavarde35304        5.20                
vardas35303         pavarde35303        5.20                
vardas35302         pavarde35302        5.20                
vardas35301         pavarde35301        5.20                
vardas5794          pavarde5794         5.20                
vardas5793          pavarde5793         5.20                
vardas5792          pavarde5792         5.20                
vardas5791          pavarde5791         5.20                
vardas88282         pavarde88282        5.20                
vardas88290         pavarde88290        5.20                
vardas88289         pavarde88289        5.20                
vardas88288         pavarde88288        5.20                
vardas88287         pavarde88287        5.20                
vardas88286         pavarde88286        5.20                
vardas88285         pavarde88285        5.20                
vardas88284         pavarde88284        5.20                
vardas88283         pavarde88283        5.20                
vardas5790          pavarde5790         5.20                
vardas35336         pavarde35336        5.20                
vardas35335         pavarde35335        5.20                
vardas35334         pavarde35334        5.20                
vardas35333         pavarde35333        5.20                
vardas35332         pavarde35332        5.20                
vardas35331         pavarde35331        5.20                
vardas35330         pavarde35330        5.20                
vardas35329         pavarde35329        5.20                
vardas54608         pavarde54608        5.20                
vardas5771          pavarde5771         5.20                
vardas54600         pavarde54600        5.20                
vardas54601         pavarde54601        5.20                
vardas54602         pavarde54602        5.20                
vardas54603         pavarde54603        5.20                
vardas54604         pavarde54604        5.20                
vardas54605         pavarde54605        5.20                
vardas54606         pavarde54606        5.20                
vardas54607         pavarde54607        5.20                
vardas5772          pavarde5772         5.20                
vardas54609         pavarde54609        5.20                
vardas54610         pavarde54610        5.20                
vardas54611         pavarde54611        5.20                
vardas54612         pavarde54612        5.20                
vardas54613         pavarde54613        5.20                
vardas54614         pavarde54614        5.20                
vardas54615         pavarde54615        5.20                
vardas54616         pavarde54616        5.20                
vardas5781          pavarde5781         5.20                
vardas5789          pavarde5789         5.20                
vardas5788          pavarde5788         5.20                
vardas5787          pavarde5787         5.20                
vardas5786          pavarde5786         5.20                
vardas5785          pavarde5785         5.20                
vardas5784          pavarde5784         5.20                
vardas5783          pavarde5783         5.20                
vardas5782          pavarde5782         5.20                
vardas19979         pavarde19979        5.20                
vardas5780          pavarde5780         5.20                
vardas5779          pavarde5779         5.20                
vardas5778          pavarde5778         5.20                
vardas5777          pavarde5777         5.20                
vardas5776          pavarde5776         5.20                
vardas5775          pavarde5775         5.20                
vardas5774          pavarde5774         5.20                
vardas5773          pavarde5773         5.20                
vardas96287         pavarde96287        5.20                
vardas67962         pavarde67962        5.20                
vardas67961         pavarde67961        5.20                
vardas67960         pavarde67960        5.20                
vardas67959         pavarde67959        5.20                
vardas19964         pavarde19964        5.20                
vardas96283         pavarde96283        5.20                
vardas96284         pavarde96284        5.20                
vardas96285         pavarde96285        5.20                
vardas96286         pavarde96286        5.20                
vardas67963         pavarde67963        5.20                
vardas96288         pavarde96288        5.20                
vardas96289         pavarde96289        5.20                
vardas96290         pavarde96290        5.20                
vardas96291         pavarde96291        5.20                
vardas96292         pavarde96292        5.20                
vardas96293         pavarde96293        5.20                
vardas96294         pavarde96294        5.20                
vardas96295         pavarde96295        5.20                
vardas67972         pavarde67972        5.20                
vardas67980         pavarde67980        5.20                
vardas67979         pavarde67979        5.20                
vardas67978         pavarde67978        5.20                
vardas67977         pavarde67977        5.20                
vardas67976         pavarde67976        5.20                
vardas67975         pavarde67975        5.20                
vardas67974         pavarde67974        5.20                
vardas67973         pavarde67973        5.20                
vardas96296         pavarde96296        5.20                
vardas67971         pavarde67971        5.20                
vardas67970         pavarde67970        5.20                
vardas67969         pavarde67969        5.20                
vardas67968         pavarde67968        5.20                
vardas67967         pavarde67967        5.20                
vardas67966         pavarde67966        5.20                
vardas67965         pavarde67965        5.20                
vardas67964         pavarde67964        5.20                
vardas19970         pavarde19970        5.20                
vardas96302         pavarde96302        5.20                
vardas96303         pavarde96303        5.20                
vardas96304         pavarde96304        5.20                
vardas96305         pavarde96305        5.20                
vardas19966         pavarde19966        5.20                
vardas19967         pavarde19967        5.20                
vardas19968         pavarde19968        5.20                
vardas19969         pavarde19969        5.20                
vardas96301         pavarde96301        5.20                
vardas19971         pavarde19971        5.20                
vardas19972         pavarde19972        5.20                
vardas19973         pavarde19973        5.20                
vardas19974         pavarde19974        5.20                
vardas19975         pavarde19975        5.20                
vardas19976         pavarde19976        5.20                
vardas19977         pavarde19977        5.20                
vardas19978         pavarde19978        5.20                
vardas54472         pavarde54472        5.20                
vardas19965         pavarde19965        5.20                
vardas54465         pavarde54465        5.20                
vardas54466         pavarde54466        5.20                
vardas54467         pavarde54467        5.20                
vardas54468         pavarde54468        5.20                
vardas54469         pavarde54469        5.20                
vardas54470         pavarde54470        5.20                
vardas54471         pavarde54471        5.20                
vardas54617         pavarde54617        5.20                
vardas54473         pavarde54473        5.20                
vardas54474         pavarde54474        5.20                
vardas54475         pavarde54475        5.20                
vardas54476         pavarde54476        5.20                
vardas96297         pavarde96297        5.20                
vardas96298         pavarde96298        5.20                
vardas96299         pavarde96299        5.20                
vardas96300         pavarde96300        5.20                
vardas35073         pavarde35073        5.20                
vardas54776         pavarde54776        5.20                
vardas54777         pavarde54777        5.20                
vardas54778         pavarde54778        5.20                
vardas54779         pavarde54779        5.20                
vardas35078         pavarde35078        5.20                
vardas35077         pavarde35077        5.20                
vardas35076         pavarde35076        5.20                
vardas35075         pavarde35075        5.20                
vardas35074         pavarde35074        5.20                
vardas54775         pavarde54775        5.20                
vardas35072         pavarde35072        5.20                
vardas35071         pavarde35071        5.20                
vardas35070         pavarde35070        5.20                
vardas35069         pavarde35069        5.20                
vardas35068         pavarde35068        5.20                
vardas35067         pavarde35067        5.20                
vardas35066         pavarde35066        5.20                
vardas35065         pavarde35065        5.20                
vardas54766         pavarde54766        5.20                
vardas54758         pavarde54758        5.20                
vardas54759         pavarde54759        5.20                
vardas54760         pavarde54760        5.20                
vardas54761         pavarde54761        5.20                
vardas54762         pavarde54762        5.20                
vardas54763         pavarde54763        5.20                
vardas54764         pavarde54764        5.20                
vardas54765         pavarde54765        5.20                
vardas35064         pavarde35064        5.20                
vardas54767         pavarde54767        5.20                
vardas54768         pavarde54768        5.20                
vardas54769         pavarde54769        5.20                
vardas54770         pavarde54770        5.20                
vardas54771         pavarde54771        5.20                
vardas54772         pavarde54772        5.20                
vardas54773         pavarde54773        5.20                
vardas54774         pavarde54774        5.20                
vardas5628          pavarde5628         5.20                
vardas5636          pavarde5636         5.20                
vardas5635          pavarde5635         5.20                
vardas5634          pavarde5634         5.20                
vardas5633          pavarde5633         5.20                
vardas5632          pavarde5632         5.20                
vardas5631          pavarde5631         5.20                
vardas5630          pavarde5630         5.20                
vardas5629          pavarde5629         5.20                
vardas5637          pavarde5637         5.20                
vardas5627          pavarde5627         5.20                
vardas5626          pavarde5626         5.20                
vardas5625          pavarde5625         5.20                
vardas5624          pavarde5624         5.20                
vardas5623          pavarde5623         5.20                
vardas5622          pavarde5622         5.20                
vardas5621          pavarde5621         5.20                
vardas5620          pavarde5620         5.20                
vardas35055         pavarde35055        5.20                
vardas35063         pavarde35063        5.20                
vardas35062         pavarde35062        5.20                
vardas35061         pavarde35061        5.20                
vardas35060         pavarde35060        5.20                
vardas35059         pavarde35059        5.20                
vardas35058         pavarde35058        5.20                
vardas35057         pavarde35057        5.20                
vardas35056         pavarde35056        5.20                
vardas20147         pavarde20147        5.20                
vardas35054         pavarde35054        5.20                
vardas35053         pavarde35053        5.20                
vardas5643          pavarde5643         5.20                
vardas5642          pavarde5642         5.20                
vardas5641          pavarde5641         5.20                
vardas5640          pavarde5640         5.20                
vardas5639          pavarde5639         5.20                
vardas5638          pavarde5638         5.20                
vardas54645         pavarde54645        5.20                
vardas35291         pavarde35291        5.20                
vardas35276         pavarde35276        5.20                
vardas35275         pavarde35275        5.20                
vardas35274         pavarde35274        5.20                
vardas54640         pavarde54640        5.20                
vardas54641         pavarde54641        5.20                
vardas54642         pavarde54642        5.20                
vardas54643         pavarde54643        5.20                
vardas54644         pavarde54644        5.20                
vardas35292         pavarde35292        5.20                
vardas35273         pavarde35273        5.20                
vardas35272         pavarde35272        5.20                
vardas35271         pavarde35271        5.20                
